(1, 3, 0, 2) Score: 3782214, STD: 8248.425186725652, [43226, 41950, 47132, 44883, 45165, 39732, 40852, 41860, 36647, 42499, 42476, 28392, 38417, 39500, 35510, 31346, 43625, 44637, 17651, 37737, 34645, 45539, 42272, 15662, 43027, 40012, 43735, 17516, 24565, 43642, 42634, 41540, 40359, 38427, 43154, 42535, 39540, 46318, 42145, 39607, 40977, 41262, 43860, 41329, 40532, 35809, 43727, 42919, 44790, 44821, 31287, 42921, 21005, 42551, 13618, 38921, 40095, 42726, 35680, 42523, 41798, 46900, 24963, 41701, 33468, 38477, 40337, 41247, 40809, 25786, 41050, 33366, 41000, 42715, 17571, 41190, 39634, 29620, 46222, 36435, 23743, 44213, 31151, 28333, 28340, 5547, 42748, 43184, 43471, 35267, 46416, 42190, 26958, 43455, 43555, 41018, 28495, 37797, 40703, 39877]
(1, 3, 2, 0) Score: 4097473, STD: 8213.991699133518, [48483, 46588, 46695, 41824, 43540, 41018, 46491, 44767, 26817, 45977, 44791, 43514, 43263, 45611, 36722, 33721, 36036, 44504, 15674, 45100, 26608, 47557, 47461, 14290, 45165, 48719, 46631, 33862, 21987, 45857, 49529, 50199, 45280, 46444, 47285, 43462, 43885, 41674, 43529, 44649, 41857, 44424, 46857, 41496, 43094, 47496, 43429, 43582, 47554, 45907, 26255, 33947, 33789, 44352, 15392, 45009, 42530, 45656, 34818, 47147, 45423, 38785, 44845, 41055, 47256, 44378, 42969, 45220, 47685, 21770, 41696, 36428, 42635, 47454, 47623, 43350, 44443, 36432, 45332, 46146, 44352, 46731, 23821, 38220, 33791, 12312, 45420, 45920, 46935, 43187, 38435, 41561, 27054, 45114, 41527, 31330, 39873, 43305, 45287, 42573]
(2, 0, 1, 3) Score: 3965513, STD: 9481.03560346877, [42448, 21970, 39055, 38925, 44686, 39488, 40831, 37258, 46471, 42053, 26645, 46561, 42264, 30463, 47062, 45043, 44050, 47777, 27596, 40433, 46507, 40825, 37016, 44364, 21472, 18668, 16155, 44493, 42604, 46186, 40405, 44182, 41119, 10283, 44710, 48400, 40102, 38801, 48276, 46947, 44702, 45853, 43870, 41467, 43594, 43667, 47668, 32616, 46752, 45424, 42650, 44385, 41498, 45508, 36905, 38505, 43790, 29126, 43308, 33128, 47187, 41742, 44742, 43583, 37573, 39788, 43623, 44836, 43964, 45448, 41846, 46950, 44452, 42630, 44072, 40956, 47545, 42391, 47957, 7013, 46114, 32310, 41817, 42570, 43028, 7456, 47592, 27148, 8287, 35322, 37733, 48507, 43213, 15608, 47761, 42857, 42147, 43565, 45122, 42048]
(2, 0, 3, 1) Score: 3699186, STD: 9307.274218273651, [41922, 23748, 39868, 38061, 38386, 42417, 43395, 37843, 44963, 41844, 27786, 39841, 41453, 35214, 43402, 34010, 37900, 42727, 16042, 41244, 34960, 42568, 34632, 42093, 26648, 21369, 16892, 39640, 45486, 23373, 42807, 43784, 41168, 9587, 45981, 42682, 43748, 37763, 30169, 43809, 44296, 40038, 32782, 38982, 39289, 34436, 46219, 37628, 45481, 44445, 42762, 38411, 44842, 37874, 42954, 39683, 28429, 43301, 42312, 35524, 45888, 45447, 43531, 28787, 34335, 44263, 43355, 43488, 44990, 43133, 30939, 37974, 41179, 43584, 38684, 42366, 41290, 36202, 44364, 7476, 17543, 28183, 40166, 42169, 42866, 6635, 40200, 32560, 8284, 41913, 33317, 42841, 45557, 43485, 40540, 18737, 26991, 41176, 22323, 41512]
(2, 1, 0, 3) Score: 4031891, STD: 9081.290580527628, [43025, 46402, 46270, 23463, 46454, 39226, 44143, 45881, 45015, 46023, 43523, 30962, 45131, 26527, 45056, 46365, 43022, 45057, 33378, 32257, 41107, 46885, 11720, 44308, 41969, 40255, 43132, 45422, 43035, 43165, 46578, 44671, 48747, 19998, 46224, 46701, 40252, 38116, 45031, 38717, 9181, 42944, 39901, 28451, 20472, 39452, 47702, 42874, 48875, 39015, 45064, 43420, 40313, 45059, 42984, 42793, 45641, 42338, 42252, 44682, 27955, 46696, 26650, 44281, 40099, 30217, 47342, 47225, 48101, 41092, 48498, 45077, 41455, 43030, 47613, 47695, 47403, 41535, 17385, 48229, 45003, 23458, 40071, 41872, 5693, 47943, 47505, 40552, 49394, 23873, 34281, 44444, 28366, 42411, 46942, 47712, 43213, 43270, 43181, 38503]
(2, 1, 3, 0) Score: 3676140, STD: 9796.0155113694, [35193, 43701, 41270, 22463, 39861, 42496, 31700, 43415, 24924, 41339, 37693, 40783, 41952, 38071, 44411, 45260, 38023, 45292, 23851, 32162, 22149, 43137, 12334, 41647, 40402, 38341, 41278, 37454, 10785, 39591, 40747, 44126, 45490, 19905, 44938, 43036, 37223, 37709, 37686, 39725, 8785, 42233, 43256, 36588, 20217, 48134, 45023, 20654, 46550, 39635, 25170, 41327, 37423, 9981, 43777, 44001, 42924, 39860, 44198, 45891, 43624, 39277, 40025, 42862, 39479, 17261, 16188, 37507, 43419, 39832, 43993, 42490, 41815, 43222, 40902, 37430, 38959, 42769, 37544, 41027, 38666, 36899, 13602, 42560, 5693, 41836, 41320, 39482, 45816, 40158, 17862, 41740, 37747, 41356, 47477, 42080, 34396, 38678, 33712, 28245]
(2, 3, 0, 1) Score: 2738225, STD: 9739.348447888799, [10433, 16935, 10444, 25787, 17789, 37538, 26906, 21702, 35644, 30479, 23828, 35941, 38190, 31559, 34378, 24649, 33696, 23660, 11161, 35346, 10831, 27590, 30726, 39754, 16429, 13948, 16113, 33709, 32002, 31131, 38003, 35489, 33248, 34530, 36500, 37426, 35231, 22215, 27718, 37173, 25112, 37820, 34341, 22737, 19442, 33174, 23554, 33223, 22369, 11045, 18194, 32112, 40745, 31487, 39880, 33874, 13945, 31414, 32863, 13095, 37626, 32271, 37616, 37079, 29491, 38598, 37684, 30821, 13857, 35075, 25166, 38827, 33739, 9293, 15406, 38119, 7148, 12220, 13885, 7953, 15087, 22343, 35264, 36292, 22248, 19907, 18184, 17417, 23929, 36577, 21732, 9905, 40971, 40312, 36540, 39269, 29504, 13351, 27521, 33741]
(2, 3, 1, 0) Score: 2929852, STD: 9758.506262453462, [36919, 39942, 39787, 20638, 17937, 21046, 32154, 22502, 29611, 36866, 34629, 34071, 36962, 36517, 12209, 40120, 31269, 38540, 29272, 25152, 28770, 38143, 7605, 31629, 13993, 35464, 39762, 33242, 15903, 29134, 36481, 38861, 37381, 8538, 21607, 40484, 14252, 25503, 16669, 31962, 8586, 30409, 23921, 33580, 23952, 36982, 39234, 15595, 40239, 13767, 31678, 34815, 37850, 19891, 20755, 38027, 36991, 13351, 36900, 37544, 39541, 24286, 38138, 28699, 12176, 14629, 15328, 37513, 29757, 28093, 30331, 38271, 36477, 34655, 21764, 17104, 35299, 24744, 36544, 39463, 40933, 8463, 34314, 37296, 5710, 36098, 34440, 32141, 37103, 34375, 17074, 40791, 30970, 27140, 33754, 40684, 37706, 32679, 35392, 14384]
(3, 0, 1, 2) Score: 3981065, STD: 8248.624828608179, [11270, 40469, 43464, 46222, 45625, 44869, 43236, 29213, 44619, 12546, 47041, 45005, 37031, 44182, 42210, 45070, 47563, 33448, 42393, 46994, 43367, 34885, 40391, 41384, 42313, 43303, 46080, 35203, 17583, 51452, 36799, 44679, 34754, 46055, 22418, 35091, 44167, 41916, 45733, 46121, 47969, 31879, 43407, 39446, 18534, 41411, 42178, 44404, 36734, 38250, 46602, 40666, 42782, 11727, 43095, 39369, 41725, 33447, 43750, 40260, 46699, 41388, 44661, 44121, 44427, 43759, 19053, 34692, 39663, 45479, 38568, 44440, 43236, 40153, 42450, 44167, 44978, 39448, 42704, 24123, 44423, 28354, 25582, 47977, 42012, 37628, 30427, 42477, 45400, 40820, 47335, 43928, 43981, 46133, 32795, 42987, 41585, 45152, 46144, 43917]
(3, 0, 2, 1) Score: 3897014, STD: 7313.7549380146265, [11172, 34779, 39514, 43015, 44883, 44255, 41118, 41514, 40089, 44512, 43760, 42806, 31579, 41742, 37865, 43693, 30293, 41518, 43534, 30210, 39427, 35460, 18491, 44776, 43011, 45569, 14232, 35470, 23284, 40250, 40095, 42011, 40906, 39896, 46067, 32191, 43781, 42597, 40708, 43464, 42029, 40553, 44069, 42459, 21021, 32939, 41361, 43317, 37023, 46371, 44899, 44115, 42812, 45236, 41989, 42244, 43784, 37198, 45232, 45933, 36001, 39381, 44040, 42887, 38971, 41518, 17040, 21129, 33810, 42014, 44822, 39862, 40129, 43174, 43892, 41886, 39764, 42444, 42473, 37602, 34407, 42758, 40363, 44756, 42379, 38526, 29581, 43969, 41699, 38949, 43659, 38521, 41694, 37438, 16754, 38419, 37691, 38743, 44288, 41460]
(3, 1, 0, 2) Score: 4091678, STD: 8975.19130274158, [43348, 45720, 45121, 44826, 45089, 40347, 22005, 45743, 16833, 47061, 45321, 32870, 15842, 47325, 32673, 42796, 8176, 46699, 43013, 45732, 38912, 43323, 44462, 39522, 42853, 48175, 45716, 43198, 44372, 43559, 44418, 44519, 32294, 48120, 45336, 41935, 43582, 45981, 46028, 35864, 39793, 8784, 44193, 35674, 46983, 37260, 45552, 44847, 45301, 45127, 45824, 45190, 39999, 45203, 42690, 43385, 45612, 41875, 20611, 43196, 46387, 43928, 38756, 44591, 44802, 47535, 6353, 41842, 46578, 40945, 44886, 40958, 47871, 38523, 42943, 45657, 36900, 43145, 44583, 42905, 44590, 44681, 45798, 44809, 37209, 39308, 44463, 40505, 49603, 10618, 48960, 44259, 41708, 46812, 46877, 38460, 32265, 46085, 44699, 44073]
(3, 1, 2, 0) Score: 3703809, STD: 9159.629535862377, [42217, 35829, 41967, 46229, 40824, 14148, 23911, 41555, 21294, 44255, 43176, 44677, 11627, 42526, 30514, 42965, 40763, 21911, 41792, 26716, 23355, 45478, 42033, 42975, 40716, 43399, 42964, 41996, 38824, 45254, 43258, 45949, 40422, 42388, 43407, 39816, 44551, 36087, 41609, 39420, 42860, 18163, 46168, 29808, 42138, 45876, 41570, 41442, 45428, 37756, 38786, 36842, 33716, 39057, 42380, 38380, 43180, 25911, 20498, 40427, 9146, 37090, 40490, 42700, 45104, 41491, 6218, 29443, 45513, 37732, 42162, 40520, 36482, 33194, 37894, 39824, 30888, 7156, 40383, 45594, 15964, 39157, 39462, 38146, 37322, 33608, 31253, 42850, 41690, 40501, 41818, 40167, 26832, 41752, 43280, 31611, 38230, 39669, 36868, 41422]
(3, 2, 0, 1) Score: 2974666, STD: 7738.074346392844, [25629, 28244, 20762, 35506, 27940, 30896, 17684, 28204, 26171, 30766, 20615, 38120, 34653, 37013, 32033, 37451, 38444, 25046, 39067, 36266, 32737, 19058, 14008, 33692, 28277, 36712, 19964, 9523, 16902, 38477, 26645, 30066, 35051, 34641, 18831, 17078, 35778, 34395, 36323, 35271, 37561, 33002, 34630, 19453, 33862, 35091, 29783, 33509, 32125, 25717, 20494, 30561, 36911, 29170, 40120, 33726, 33679, 35014, 28964, 36004, 33091, 24122, 36278, 38119, 39160, 20461, 36805, 17245, 15153, 30265, 38302, 36360, 33210, 20108, 28026, 24384, 14835, 39996, 38613, 40310, 31516, 19196, 33072, 27580, 29989, 33194, 12877, 35590, 34480, 35687, 38644, 26198, 33806, 12956, 22346, 25710, 33123, 40515, 21646, 18383]
(3, 2, 1, 0) Score: 2742744, STD: 10369.691747383698, [34882, 36123, 37712, 11803, 16695, 37033, 33602, 39378, 17875, 38864, 35051, 18760, 31940, 22997, 19933, 22302, 8165, 13859, 26281, 15327, 24419, 39378, 25578, 38610, 38029, 19876, 39224, 16862, 39368, 26608, 33022, 21605, 37901, 34225, 13212, 19392, 32272, 34499, 14804, 35285, 10260, 10408, 17847, 37520, 21891, 25712, 33285, 33478, 42446, 40670, 25564, 37520, 33332, 34067, 34205, 35098, 25010, 35676, 15205, 37483, 10692, 38617, 25954, 22778, 35942, 39240, 30428, 32172, 35438, 35917, 8896, 9504, 18930, 30795, 13736, 13456, 16455, 6958, 33911, 39661, 28144, 31169, 35814, 37118, 5748, 39877, 5896, 22881, 34836, 32696, 37867, 33409, 10952, 29145, 37920, 21203, 18911, 39077, 14452, 36721]
